Episode,Total Reward,Hits,False Positives,Repeats,Avg Loss
444,-4.0,3,17,1,0.0
445,-16.0,2,18,4,0.0
446,-10.0,2,18,1,0.0
447,-4.0,3,17,1,0.0
448,2.0,4,16,1,0.3917364180088043
449,-14.0,2,18,3,0.0
450,-6.0,4,16,5,0.0
451,-2.0,4,16,3,0.0
452,16.0,8,12,6,0.0
453,-6.0,4,16,5,0.0
454,-18.0,2,18,5,0.0
455,-10.0,2,18,1,0.0
456,-6.0,3,17,2,0.0
457,-2.0,3,17,0,0.0
458,0.0,4,16,2,0.0
459,-4.0,3,17,1,0.0
460,-4.0,3,17,1,0.0
461,-6.0,4,16,5,0.0
462,0.0,4,16,2,0.0
463,-2.0,4,16,3,0.0
464,-8.0,3,17,3,0.0
465,-8.0,2,18,0,0.0
466,-6.0,3,17,2,0.0
467,2.0,4,16,1,0.0
468,18.0,7,13,2,0.0
469,-4.0,4,16,4,0.0
470,6.0,5,15,2,0.0
471,-8.0,3,17,3,0.0
472,4.0,5,15,3,0.0
473,-4.0,3,17,1,0.0
474,-14.0,2,18,3,0.0
475,10.0,6,14,3,0.0
476,-8.0,3,17,3,0.0
477,-2.0,3,17,0,0.0
478,-4.0,4,16,4,0.0
479,8.0,5,15,1,0.0
480,-4.0,4,16,4,0.3809594785173734
481,12.0,6,14,2,0.0
482,-4.0,4,16,4,0.0
483,0.0,4,16,2,0.0
484,2.0,4,16,1,0.0
485,10.0,6,14,3,0.0
486,2.0,4,16,1,0.0
487,14.0,6,14,1,0.0
488,2.0,4,16,1,0.0
489,8.0,5,15,1,0.0
490,-8.0,3,17,3,0.0
491,2.0,4,16,1,0.0
492,22.0,7,13,0,0.0
493,0.0,4,16,2,0.0
494,2.0,5,15,4,0.0
495,-4.0,4,16,4,0.0
496,20.0,7,13,1,0.0
497,-6.0,3,17,2,0.0
498,-8.0,3,17,3,0.0
499,-10.0,2,18,1,0.0
500,10.0,6,14,3,0.0
501,-2.0,4,16,3,0.0
502,-18.0,1,19,2,0.0
503,0.0,4,16,2,0.0
504,-2.0,3,17,0,0.0
505,-6.0,3,17,2,0.0
506,-20.0,1,19,3,0.0
507,0.0,4,16,2,0.0
508,-6.0,3,17,2,0.0
509,-2.0,4,16,3,0.0
510,-4.0,3,17,1,0.0
511,4.0,4,16,0,0.0
512,6.0,5,15,2,0.40110837916533154
513,-10.0,3,17,4,0.0
514,-12.0,2,18,2,0.0
515,6.0,5,15,2,0.0
516,-4.0,3,17,1,0.0
517,0.0,4,16,2,0.0
518,18.0,7,13,2,0.0
519,14.0,6,14,1,0.0
520,8.0,5,15,1,0.0
521,8.0,5,15,1,0.0
522,-10.0,2,18,1,0.0
523,-16.0,1,19,1,0.0
524,16.0,8,12,6,0.0
525,2.0,5,15,4,0.0
526,-2.0,3,17,0,0.0
527,-14.0,2,18,3,0.0
528,8.0,5,15,1,0.0
529,-4.0,3,17,1,0.0
530,-6.0,3,17,2,0.0
531,0.0,5,15,5,0.0
532,2.0,5,15,4,0.0
533,-22.0,2,18,7,0.0
534,-6.0,3,17,2,0.0
535,-10.0,3,17,4,0.0
536,16.0,7,13,3,0.0
537,6.0,5,15,2,0.0
538,-14.0,2,18,3,0.0
539,4.0,5,15,3,0.0
540,-2.0,4,16,3,0.0
541,-8.0,2,18,0,0.0
542,0.0,4,16,2,0.0
543,2.0,4,16,1,0.0
544,-10.0,2,18,1,0.3872750699520111
545,-8.0,2,18,0,0.0
546,-14.0,2,18,3,0.0
547,20.0,7,13,1,0.0
548,-10.0,2,18,1,0.0
549,-4.0,4,16,4,0.0
550,-2.0,4,16,3,0.0
551,-14.0,2,18,3,0.0
552,10.0,6,14,3,0.0
553,0.0,4,16,2,0.0
554,8.0,5,15,1,0.0
555,-2.0,4,16,3,0.0
556,6.0,5,15,2,0.0
557,-24.0,1,19,5,0.0
558,0.0,4,16,2,0.0
559,-18.0,2,18,5,0.0
560,12.0,6,14,2,0.0
561,2.0,5,15,4,0.0
562,-8.0,3,17,3,0.0
563,10.0,5,15,0,0.0
564,0.0,4,16,2,0.0
565,12.0,6,14,2,0.0
566,12.0,6,14,2,0.0
567,0.0,4,16,2,0.0
568,0.0,4,16,2,0.0
569,-2.0,4,16,3,0.0
570,12.0,6,14,2,0.0
571,12.0,6,14,2,0.0
572,-8.0,3,17,3,0.0
573,-16.0,1,19,1,0.0
574,-16.0,2,18,4,0.0
575,-2.0,4,16,3,0.0
576,2.0,4,16,1,0.39240989337364834
577,8.0,5,15,1,0.0
578,0.0,4,16,2,0.0
579,0.0,5,15,5,0.0
580,12.0,6,14,2,0.0
581,-10.0,3,17,4,0.0
582,18.0,7,13,2,0.0
583,-16.0,2,18,4,0.0
584,8.0,5,15,1,0.0
585,2.0,4,16,1,0.0
586,16.0,6,14,0,0.0
587,-6.0,3,17,2,0.0
588,-4.0,3,17,1,0.0
589,4.0,5,15,3,0.0
590,-4.0,4,16,4,0.0
591,-4.0,4,16,4,0.0
592,24.0,8,12,2,0.0
593,-4.0,3,17,1,0.0
594,-14.0,2,18,3,0.0
595,-20.0,1,19,3,0.0
596,26.0,9,11,4,0.0
597,2.0,4,16,1,0.0
598,-4.0,4,16,4,0.0
599,-16.0,1,19,1,0.0
600,14.0,6,14,1,0.0
601,6.0,5,15,2,0.0
602,-2.0,4,16,3,0.0
603,-18.0,1,19,2,0.0
604,-2.0,4,16,3,0.0
605,-6.0,4,16,5,0.0
606,-10.0,2,18,1,0.0
607,-2.0,5,15,6,0.0
608,2.0,5,15,4,0.4054981768131256
609,10.0,6,14,3,0.0
610,4.0,5,15,3,0.0
611,30.0,9,11,2,0.0
612,-10.0,2,18,1,0.0
613,-8.0,3,17,3,0.0
614,6.0,5,15,2,0.0
615,10.0,6,14,3,0.0
616,0.0,4,16,2,0.0
